Comunidad,Población,Muestra
Andalucía,7.045.902,549
Aragón,1.124.262,549
"Asturias, Principado De",915.323,549
"Balears, Illes",955.918,549
Canarias,1.837.657,549
Cantabria,502.185,549
Castilla Y León,2.120.814,549
Castilla - La Mancha,1.718.772,549
Cataluña,6.422.931,549
Comunitat Valenciana,4.220.175,549
Extremadura,925.626,549
Galicia,2.378.800,549
"Madrid, Comunidad De",5.558.401,549
"Murcia, Región De",1.220.055,549
"Navarra, Comunidad Foral De",546.333,549
País Vasco,1.891.860,549
"Rioja, La",269.329,548
Ceuta,67.336,545
Melilla,66.404,545
Total,39.788.083,10.422
