age;comunidad;pob
0-4 años;ANDALUCÍA;394239
0-4 años;ARAGÓN;56517
0-4 años;ASTURIAS, PRINCIPADO DE;32470
0-4 años;BALEARS, ILLES;53703
0-4 años;CANARIAS;81313
0-4 años;CANTABRIA;22370
0-4 años;CASTILLA Y LEÓN;84576
0-4 años;CASTILLA - LA MANCHA;90882
0-4 años;CATALUÑA;354069
0-4 años;COMUNITAT VALENCIANA;217282
0-4 años;EXTREMADURA;43438
0-4 años;GALICIA;97430
0-4 años;MADRID, COMUNIDAD DE;320026
0-4 años;MURCIA, REGIÓN DE;79578
0-4 años;NAVARRA, COMUNIDAD FORAL DE;31011
0-4 años;PAÍS VASCO;93900
0-4 años;RIOJA, LA;13991
0-4 años;CEUTA;5435
0-4 años;MELILLA;6944
5-9 años;ANDALUCÍA;465623
5-9 años;ARAGÓN;64146
5-9 años;ASTURIAS, PRINCIPADO DE;40272
5-9 años;BALEARS, ILLES;60201
5-9 años;CANARIAS;98822
5-9 años;CANTABRIA;27857
5-9 años;CASTILLA Y LEÓN;100854
5-9 años;CASTILLA - LA MANCHA;108458
5-9 años;CATALUÑA;413176
5-9 años;COMUNITAT VALENCIANA;260123
5-9 años;EXTREMADURA;51107
5-9 años;GALICIA;112798
5-9 años;MADRID, COMUNIDAD DE;355467
5-9 años;MURCIA, REGIÓN DE;89545
5-9 años;NAVARRA, COMUNIDAD FORAL DE;35586
5-9 años;PAÍS VASCO;107939
5-9 años;RIOJA, LA;16273
5-9 años;CEUTA;6290
5-9 años;MELILLA;7013
10-14 años;ANDALUCÍA;478644
10-14 años;ARAGÓN;63803
10-14 años;ASTURIAS, PRINCIPADO DE;40179
10-14 años;BALEARS, ILLES;59086
10-14 años;CANARIAS;109893
10-14 años;CANTABRIA;27817
10-14 años;CASTILLA Y LEÓN;102920
10-14 años;CASTILLA - LA MANCHA;108695
10-14 años;CATALUÑA;409889
10-14 años;COMUNITAT VALENCIANA;266123
10-14 años;EXTREMADURA;52692
10-14 años;GALICIA;112715
10-14 años;MADRID, COMUNIDAD DE;344185
10-14 años;MURCIA, REGIÓN DE;89331
10-14 años;NAVARRA, COMUNIDAD FORAL DE;34624
10-14 años;PAÍS VASCO;105389
10-14 años;RIOJA, LA;16082
10-14 años;CEUTA;6083
10-14 años;MELILLA;6023
15-19 años;ANDALUCÍA;440123
15-19 años;ARAGÓN;59664
15-19 años;ASTURIAS, PRINCIPADO DE;37753
15-19 años;BALEARS, ILLES;55092
15-19 años;CANARIAS;108627
15-19 años;CANTABRIA;24816
15-19 años;CASTILLA Y LEÓN;99650
15-19 años;CASTILLA - LA MANCHA;103114
15-19 años;CATALUÑA;371304
15-19 años;COMUNITAT VALENCIANA;242011
15-19 años;EXTREMADURA;53281
15-19 años;GALICIA;106191
15-19 años;MADRID, COMUNIDAD DE;314696
15-19 años;MURCIA, REGIÓN DE;81888
15-19 años;NAVARRA, COMUNIDAD FORAL DE;32838
15-19 años;PAÍS VASCO;96506
15-19 años;RIOJA, LA;14653
15-19 años;CEUTA;5315
15-19 años;MELILLA;5792
20-24 años;ANDALUCÍA;448100
20-24 años;ARAGÓN;61034
20-24 años;ASTURIAS, PRINCIPADO DE;38442
20-24 años;BALEARS, ILLES;58286
20-24 años;CANARIAS;114381
20-24 años;CANTABRIA;23886
20-24 años;CASTILLA Y LEÓN;103719
20-24 años;CASTILLA - LA MANCHA;105952
20-24 años;CATALUÑA;371410
20-24 años;COMUNITAT VALENCIANA;241796
20-24 años;EXTREMADURA;57091
20-24 años;GALICIA;110281
20-24 años;MADRID, COMUNIDAD DE;322272
20-24 años;MURCIA, REGIÓN DE;80777
20-24 años;NAVARRA, COMUNIDAD FORAL DE;32213
20-24 años;PAÍS VASCO;92585
20-24 años;RIOJA, LA;14402
20-24 años;CEUTA;5523
20-24 años;MELILLA;5946
25-29 años;ANDALUCÍA;493518
25-29 años;ARAGÓN;65972
25-29 años;ASTURIAS, PRINCIPADO DE;43281
25-29 años;BALEARS, ILLES;72438
25-29 años;CANARIAS;133831
25-29 años;CANTABRIA;26845
25-29 años;CASTILLA Y LEÓN;112386
25-29 años;CASTILLA - LA MANCHA;113710
25-29 años;CATALUÑA;419825
25-29 años;COMUNITAT VALENCIANA;262929
25-29 años;EXTREMADURA;62753
25-29 años;GALICIA;126563
25-29 años;MADRID, COMUNIDAD DE;375579
25-29 años;MURCIA, REGIÓN DE;87379
25-29 años;NAVARRA, COMUNIDAD FORAL DE;32594
25-29 años;PAÍS VASCO;100418
25-29 años;RIOJA, LA;15607
25-29 años;CEUTA;5688
25-29 años;MELILLA;5898
30-34 años;ANDALUCÍA;542480
30-34 años;ARAGÓN;75953
30-34 años;ASTURIAS, PRINCIPADO DE;55041
30-34 años;BALEARS, ILLES;83915
30-34 años;CANARIAS;144743
30-34 años;CANTABRIA;32925
30-34 años;CASTILLA Y LEÓN;129264
30-34 años;CASTILLA - LA MANCHA;126026
30-34 años;CATALUÑA;478061
30-34 años;COMUNITAT VALENCIANA;298784
30-34 años;EXTREMADURA;65610
30-34 años;GALICIA;151674
30-34 años;MADRID, COMUNIDAD DE;439372
30-34 años;MURCIA, REGIÓN DE;96395
30-34 años;NAVARRA, COMUNIDAD FORAL DE;37103
30-34 años;PAÍS VASCO;121484
30-34 años;RIOJA, LA;18071
30-34 años;CEUTA;6036
30-34 años;MELILLA;6124
35-39 años;ANDALUCÍA;656642
35-39 años;ARAGÓN;95337
35-39 años;ASTURIAS, PRINCIPADO DE;72589
35-39 años;BALEARS, ILLES;98901
35-39 años;CANARIAS;174230
35-39 años;CANTABRIA;44405
35-39 años;CASTILLA Y LEÓN;161264
35-39 años;CASTILLA - LA MANCHA;154733
35-39 años;CATALUÑA;602054
35-39 años;COMUNITAT VALENCIANA;386641
35-39 años;EXTREMADURA;74752
35-39 años;GALICIA;201308
35-39 años;MADRID, COMUNIDAD DE;536229
35-39 años;MURCIA, REGIÓN DE;123074
35-39 años;NAVARRA, COMUNIDAD FORAL DE;48077
35-39 años;PAÍS VASCO;157608
35-39 años;RIOJA, LA;23728
35-39 años;CEUTA;6529
35-39 años;MELILLA;6604
40-44 años;ANDALUCÍA;699798
40-44 años;ARAGÓN;107718
40-44 años;ASTURIAS, PRINCIPADO DE;85405
40-44 años;BALEARS, ILLES;103121
40-44 años;CANARIAS;191855
40-44 años;CANTABRIA;49521
40-44 años;CASTILLA Y LEÓN;182469
40-44 años;CASTILLA - LA MANCHA;166441
40-44 años;CATALUÑA;672025
40-44 años;COMUNITAT VALENCIANA;429533
40-44 años;EXTREMADURA;79836
40-44 años;GALICIA;224690
40-44 años;MADRID, COMUNIDAD DE;593320
40-44 años;MURCIA, REGIÓN DE;128734
40-44 años;NAVARRA, COMUNIDAD FORAL DE;54617
40-44 años;PAÍS VASCO;184163
40-44 años;RIOJA, LA;26707
40-44 años;CEUTA;6604
40-44 años;MELILLA;6098
45-49 años;ANDALUCÍA;670069
45-49 años;ARAGÓN;103268
45-49 años;ASTURIAS, PRINCIPADO DE;81667
45-49 años;BALEARS, ILLES;93889
45-49 años;CANARIAS;192116
45-49 años;CANTABRIA;46618
45-49 años;CASTILLA Y LEÓN;185827
45-49 años;CASTILLA - LA MANCHA;160170
45-49 años;CATALUÑA;609553
45-49 años;COMUNITAT VALENCIANA;403088
45-49 años;EXTREMADURA;82722
45-49 años;GALICIA;213519
45-49 años;MADRID, COMUNIDAD DE;542464
45-49 años;MURCIA, REGIÓN DE;118336
45-49 años;NAVARRA, COMUNIDAD FORAL DE;51917
45-49 años;PAÍS VASCO;176081
45-49 años;RIOJA, LA;25032
45-49 años;CEUTA;6124
45-49 años;MELILLA;5853
50-54 años;ANDALUCÍA;653267
50-54 años;ARAGÓN;100148
50-54 años;ASTURIAS, PRINCIPADO DE;81618
50-54 años;BALEARS, ILLES;84229
50-54 años;CANARIAS;179249
50-54 años;CANTABRIA;45321
50-54 años;CASTILLA Y LEÓN;192874
50-54 años;CASTILLA - LA MANCHA;156167
50-54 años;CATALUÑA;558680
50-54 años;COMUNITAT VALENCIANA;381058
50-54 años;EXTREMADURA;86706
50-54 años;GALICIA;202727
50-54 años;MADRID, COMUNIDAD DE;495702
50-54 años;MURCIA, REGIÓN DE;110124
50-54 años;NAVARRA, COMUNIDAD FORAL DE;49042
50-54 años;PAÍS VASCO;173387
50-54 años;RIOJA, LA;23926
50-54 años;CEUTA;6018
50-54 años;MELILLA;5851
55-59 años;ANDALUCÍA;565586
55-59 años;ARAGÓN;92835
55-59 años;ASTURIAS, PRINCIPADO DE;82749
55-59 años;BALEARS, ILLES;71606
55-59 años;CANARIAS;147724
55-59 años;CANTABRIA;43918
55-59 años;CASTILLA Y LEÓN;186946
55-59 años;CASTILLA - LA MANCHA;140708
55-59 años;CATALUÑA;491638
55-59 años;COMUNITAT VALENCIANA;339781
55-59 años;EXTREMADURA;80626
55-59 años;GALICIA;193656
55-59 años;MADRID, COMUNIDAD DE;427017
55-59 años;MURCIA, REGIÓN DE;91900
55-59 años;NAVARRA, COMUNIDAD FORAL DE;43759
55-59 años;PAÍS VASCO;162611
55-59 años;RIOJA, LA;22541
55-59 años;CEUTA;5546
55-59 años;MELILLA;5388
60-64 años;ANDALUCÍA;465374
60-64 años;ARAGÓN;79413
60-64 años;ASTURIAS, PRINCIPADO DE;77164
60-64 años;BALEARS, ILLES;59602
60-64 años;CANARIAS;119371
60-64 años;CANTABRIA;39344
60-64 años;CASTILLA Y LEÓN;162576
60-64 años;CASTILLA - LA MANCHA;109163
60-64 años;CATALUÑA;426960
60-64 años;COMUNITAT VALENCIANA;287916
60-64 años;EXTREMADURA;63051
60-64 años;GALICIA;175261
60-64 años;MADRID, COMUNIDAD DE;357495
60-64 años;MURCIA, REGIÓN DE;72938
60-64 años;NAVARRA, COMUNIDAD FORAL DE;37737
60-64 años;PAÍS VASCO;142916
60-64 años;RIOJA, LA;19277
60-64 años;CEUTA;4210
60-64 años;MELILLA;4177
65-69 años;ANDALUCÍA;397204
65-69 años;ARAGÓN;70355
65-69 años;ASTURIAS, PRINCIPADO DE;68781
65-69 años;BALEARS, ILLES;52112
65-69 años;CANARIAS;100232
65-69 años;CANTABRIA;34554
65-69 años;CASTILLA Y LEÓN;143336
65-69 años;CASTILLA - LA MANCHA;94558
65-69 años;CATALUÑA;385648
65-69 años;COMUNITAT VALENCIANA;264348
65-69 años;EXTREMADURA;54429
65-69 años;GALICIA;165222
65-69 años;MADRID, COMUNIDAD DE;317844
65-69 años;MURCIA, REGIÓN DE;63437
65-69 años;NAVARRA, COMUNIDAD FORAL DE;33473
65-69 años;PAÍS VASCO;128831
65-69 años;RIOJA, LA;16595
65-69 años;CEUTA;2945
65-69 años;MELILLA;2740
70-74 años;ANDALUCÍA;351747
70-74 años;ARAGÓN;63231
70-74 años;ASTURIAS, PRINCIPADO DE;59862
70-74 años;BALEARS, ILLES;43692
70-74 años;CANARIAS;83590
70-74 años;CANTABRIA;28165
70-74 años;CASTILLA Y LEÓN;128680
70-74 años;CASTILLA - LA MANCHA;82351
70-74 años;CATALUÑA;338892
70-74 años;COMUNITAT VALENCIANA;232627
70-74 años;EXTREMADURA;49563
70-74 años;GALICIA;154632
70-74 años;MADRID, COMUNIDAD DE;278879
70-74 años;MURCIA, REGIÓN DE;54377
70-74 años;NAVARRA, COMUNIDAD FORAL DE;29847
70-74 años;PAÍS VASCO;115074
70-74 años;RIOJA, LA;14863
70-74 años;CEUTA;2395
70-74 años;MELILLA;2015
75-79 años;ANDALUCÍA;250818
75-79 años;ARAGÓN;46725
75-79 años;ASTURIAS, PRINCIPADO DE;39862
75-79 años;BALEARS, ILLES;29832
75-79 años;CANARIAS;59291
75-79 años;CANTABRIA;19559
75-79 años;CASTILLA Y LEÓN;100378
75-79 años;CASTILLA - LA MANCHA;64700
75-79 años;CATALUÑA;236415
75-79 años;COMUNITAT VALENCIANA;172254
75-79 años;EXTREMADURA;37091
75-79 años;GALICIA;114284
75-79 años;MADRID, COMUNIDAD DE;196917
75-79 años;MURCIA, REGIÓN DE;41210
75-79 años;NAVARRA, COMUNIDAD FORAL DE;21276
75-79 años;PAÍS VASCO;80555
75-79 años;RIOJA, LA;10860
75-79 años;CEUTA;1836
75-79 años;MELILLA;1567
80-84 años;ANDALUCÍA;216408
80-84 años;ARAGÓN;47401
80-84 años;ASTURIAS, PRINCIPADO DE;42529
80-84 años;BALEARS, ILLES;24781
80-84 años;CANARIAS;47715
80-84 años;CANTABRIA;19693
80-84 años;CASTILLA Y LEÓN;103957
80-84 años;CASTILLA - LA MANCHA;66723
80-84 años;CATALUÑA;224363
80-84 años;COMUNITAT VALENCIANA;143263
80-84 años;EXTREMADURA;39038
80-84 años;GALICIA;116687
80-84 años;MADRID, COMUNIDAD DE;174724
80-84 años;MURCIA, REGIÓN DE;35906
80-84 años;NAVARRA, COMUNIDAD FORAL DE;19413
80-84 años;PAÍS VASCO;77392
80-84 años;RIOJA, LA;10618
80-84 años;CEUTA;1407
80-84 años;MELILLA;1266
85-89 años;ANDALUCÍA;133680
85-89 años;ARAGÓN;34954
85-89 años;ASTURIAS, PRINCIPADO DE;31322
85-89 años;BALEARS, ILLES;15737
85-89 años;CANARIAS;27744
85-89 años;CANTABRIA;14394
85-89 años;CASTILLA Y LEÓN;78619
85-89 años;CASTILLA - LA MANCHA;48156
85-89 años;CATALUÑA;151188
85-89 años;COMUNITAT VALENCIANA;89533
85-89 años;EXTREMADURA;26093
85-89 años;GALICIA;78482
85-89 años;MADRID, COMUNIDAD DE;118499
85-89 años;MURCIA, REGIÓN DE;22913
85-89 años;NAVARRA, COMUNIDAD FORAL DE;14072
85-89 años;PAÍS VASCO;53677
85-89 años;RIOJA, LA;7787
85-89 años;CEUTA;806
85-89 años;MELILLA;721
90-94 años;ANDALUCÍA;48065
90-94 años;ARAGÓN;15658
90-94 años;ASTURIAS, PRINCIPADO DE;13469
90-94 años;BALEARS, ILLES;6784
90-94 años;CANARIAS;9926
90-94 años;CANTABRIA;6381
90-94 años;CASTILLA Y LEÓN;37317
90-94 años;CASTILLA - LA MANCHA;20605
90-94 años;CATALUÑA;66359
90-94 años;COMUNITAT VALENCIANA;35332
90-94 años;EXTREMADURA;10271
90-94 años;GALICIA;33170
90-94 años;MADRID, COMUNIDAD DE;51852
90-94 años;MURCIA, REGIÓN DE;8681
90-94 años;NAVARRA, COMUNIDAD FORAL DE;6415
90-94 años;PAÍS VASCO;22679
90-94 años;RIOJA, LA;3598
90-94 años;CEUTA;279
90-94 años;MELILLA;293
95-99 años;ANDALUCÍA;10763
95-99 años;ARAGÓN;4046
95-99 años;ASTURIAS, PRINCIPADO DE;3322
95-99 años;BALEARS, ILLES;1662
95-99 años;CANARIAS;2388
95-99 años;CANTABRIA;1580
95-99 años;CASTILLA Y LEÓN;9988
95-99 años;CASTILLA - LA MANCHA;4805
95-99 años;CATALUÑA;16317
95-99 años;COMUNITAT VALENCIANA;8004
95-99 años;EXTREMADURA;2352
95-99 años;GALICIA;8831
95-99 años;MADRID, COMUNIDAD DE;13440
95-99 años;MURCIA, REGIÓN DE;1799
95-99 años;NAVARRA, COMUNIDAD FORAL DE;1707
95-99 años;PAÍS VASCO;5213
95-99 años;RIOJA, LA;962
95-99 años;CEUTA;58
95-99 años;MELILLA;56
100 años y más;ANDALUCÍA;2260
100 años y más;ARAGÓN;550
100 años y más;ASTURIAS, PRINCIPADO DE;467
100 años y más;BALEARS, ILLES;239
100 años y más;CANARIAS;644
100 años y más;CANTABRIA;260
100 años y más;CASTILLA Y LEÓN;1564
100 años y más;CASTILLA - LA MANCHA;690
100 años y más;CATALUÑA;2239
100 años y más;COMUNITAT VALENCIANA;1277
100 años y más;EXTREMADURA;361
100 años y más;GALICIA;1622
100 años y más;MADRID, COMUNIDAD DE;2100
100 años y más;MURCIA, REGIÓN DE;187
100 años y más;NAVARRA, COMUNIDAD FORAL DE;233
100 años y más;PAÍS VASCO;680
100 años y más;RIOJA, LA;102
100 años y más;CEUTA;17
100 años y más;MELILLA;15
